Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA125,Fear_Greed_Index
1986-12-31 00:00:00+08:00,2568.300048828125,2568.300048828125,2568.300048828125,2568.300048828125,0,0.0,0.0,2568.300048828125,50.83590646388199
1987-01-02 00:00:00+08:00,2540.10009765625,2540.10009765625,2540.10009765625,2540.10009765625,0,0.0,0.0,2554.2000732421875,49.76777080660047
1987-01-05 00:00:00+08:00,2552.39990234375,2552.39990234375,2552.39990234375,2552.39990234375,0,0.0,0.0,2553.6000162760415,49.34606522613335
1987-01-06 00:00:00+08:00,2583.89990234375,2583.89990234375,2583.89990234375,2583.89990234375,0,0.0,0.0,2561.1749877929688,51.017265308789455
1987-01-07 00:00:00+08:00,2607.10009765625,2607.10009765625,2607.10009765625,2607.10009765625,0,0.0,0.0,2570.360009765625,42.68848600033013
1987-01-08 00:00:00+08:00,2603.300048828125,2603.300048828125,2603.300048828125,2603.300048828125,0,0.0,0.0,2575.8500162760415,45.479721757497025
1987-01-09 00:00:00+08:00,2561.699951171875,2561.699951171875,2561.699951171875,2561.699951171875,0,0.0,0.0,2573.8285784040177,49.81673077355384
1987-01-12 00:00:00+08:00,2614.89990234375,2614.89990234375,2614.89990234375,2614.89990234375,0,0.0,0.0,2578.9624938964844,50.02350101529693
1987-01-13 00:00:00+08:00,2590.800048828125,2590.800048828125,2590.800048828125,2590.800048828125,0,0.0,0.0,2580.277777777778,49.197028288626136
1987-01-14 00:00:00+08:00,2578.199951171875,2578.199951171875,2578.199951171875,2578.199951171875,0,0.0,0.0,2580.0699951171873,50.76331070291558
1987-01-15 00:00:00+08:00,2559.10009765625,2559.10009765625,2559.10009765625,2559.10009765625,0,0.0,0.0,2578.163640802557,44.05509140792212
1987-01-16 00:00:00+08:00,2542.60009765625,2542.60009765625,2542.60009765625,2542.60009765625,0,0.0,0.0,2575.2000122070312,48.70260613202112
1987-01-19 00:00:00+08:00,2460.5,2460.5,2460.5,2460.5,0,0.0,0.0,2566.376934344952,51.27712129563086
1987-01-20 00:00:00+08:00,2449.89990234375,2449.89990234375,2449.89990234375,2449.89990234375,0,0.0,0.0,2558.057146344866,38.17098549757015
1987-01-21 00:00:00+08:00,2533.89990234375,2533.89990234375,2533.89990234375,2533.89990234375,0,0.0,0.0,2556.4466634114583,40.608694380046444
1987-01-22 00:00:00+08:00,2536.89990234375,2536.89990234375,2536.89990234375,2536.89990234375,0,0.0,0.0,2555.2249908447266,36.077193834247765
1987-01-23 00:00:00+08:00,2499.39990234375,2499.39990234375,2499.39990234375,2499.39990234375,0,0.0,0.0,2551.941162109375,43.451682847975235
1987-01-26 00:00:00+08:00,2484.39990234375,2484.39990234375,2484.39990234375,2484.39990234375,0,0.0,0.0,2548.188869900174,53.07662147121301
1987-01-27 00:00:00+08:00,2524.0,2524.0,2524.0,2524.0,0,0.0,0.0,2546.915771484375,52.87791941670528
1987-01-28 00:00:00+08:00,2553.300048828125,2553.300048828125,2553.300048828125,2553.300048828125,0,0.0,0.0,2547.2349853515625,51.102923300240874
1987-02-02 00:00:00+08:00,2585.199951171875,2585.199951171875,2585.199951171875,2585.199951171875,0,0.0,0.0,2549.0428408668154,57.1775968698564
1987-02-03 00:00:00+08:00,2606.39990234375,2606.39990234375,2606.39990234375,2606.39990234375,0,0.0,0.0,2551.649980024858,49.66366541194623
1987-02-04 00:00:00+08:00,2636.60009765625,2636.60009765625,2636.60009765625,2636.60009765625,0,0.0,0.0,2555.343463400136,54.2367193424398
1987-02-05 00:00:00+08:00,2672.39990234375,2672.39990234375,2672.39990234375,2672.39990234375,0,0.0,0.0,2560.2208150227866,69.96776877016116
1987-02-06 00:00:00+08:00,2673.60009765625,2673.60009765625,2673.60009765625,2673.60009765625,0,0.0,0.0,2564.755986328125,65.52127904688294
1987-02-09 00:00:00+08:00,2713.699951171875,2713.699951171875,2713.699951171875,2713.699951171875,0,0.0,0.0,2570.484600360577,74.60734879087063
1987-02-10 00:00:00+08:00,2694.89990234375,2694.89990234375,2694.89990234375,2694.89990234375,0,0.0,0.0,2575.0925745081017,74.4256896548847
1987-02-11 00:00:00+08:00,2739.5,2739.5,2739.5,2739.5,0,0.0,0.0,2580.96426827567,85.07834321930325
1987-02-12 00:00:00+08:00,2754.699951171875,2754.699951171875,2754.699951171875,2754.699951171875,0,0.0,0.0,2586.9551538927803,91.47479144295731
1987-02-13 00:00:00+08:00,2740.5,2740.5,2740.5,2740.5,0,0.0,0.0,2592.0733154296877,89.6610736766883
1987-02-16 00:00:00+08:00,2766.10009765625,2766.10009765625,2766.10009765625,2766.10009765625,0,0.0,0.0,2597.6870825982865,76.96400476439976
1987-02-17 00:00:00+08:00,2792.10009765625,2792.10009765625,2792.10009765625,2792.10009765625,0,0.0,0.0,2603.7624893188477,92.97688894925673
1987-02-18 00:00:00+08:00,2801.5,2801.5,2801.5,2801.5,0,0.0,0.0,2609.7545350970645,89.18474014604058
