Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,MA125,Fear_Greed_Index
2000-05-26 00:00:00-04:00,32.88477003941044,33.02019119262695,32.72677869399117,33.02019119262695,74800,0.0,0.0,0.0,33.02019119262695,53.40595271819866
2000-05-30 00:00:00-04:00,33.49415185031879,34.23896789550781,33.49415185031879,34.23896789550781,57600,0.0,0.0,0.0,33.62957954406738,47.92229320886758
2000-05-31 00:00:00-04:00,34.35183212205107,34.803235960711405,34.35183212205107,34.36311721801758,36000,0.0,0.0,0.0,33.87409210205078,48.587498957841696
2000-06-01 00:00:00-04:00,35.06843155289431,35.14178466796875,35.06843155289431,35.14178466796875,7000,0.0,0.0,0.0,34.19101524353027,48.71076007086841
2000-06-02 00:00:00-04:00,36.73299129192645,36.96997833251953,36.73299129192645,36.96997833251953,29400,0.0,0.0,0.0,34.74680786132812,49.56640465599642
2000-06-05 00:00:00-04:00,36.87968169006647,37.24080464419196,36.78940095153509,36.83454132080078,48400,0.0,0.0,0.0,35.0947634379069,48.084930026090966
2000-06-06 00:00:00-04:00,37.41573042198292,37.85020655567206,37.08282013772761,37.19567108154297,151800,0.0,0.0,0.0,35.39489310128348,52.006481226655836
2000-06-07 00:00:00-04:00,36.96996813687411,37.24081039428711,36.631415315107866,37.24081039428711,131000,0.0,0.0,0.0,35.625632762908936,45.48742619180595
2000-06-08 00:00:00-04:00,37.64707980150151,37.64707980150151,37.150535583496094,37.150535583496094,91400,0.0,0.0,0.0,35.79506640964084,45.93872782153297
2000-06-09 00:00:00-04:00,37.51167541959393,37.80508804321289,37.48910521777708,37.80508804321289,41600,0.0,0.0,0.0,35.99606857299805,56.28095824353676
2000-06-12 00:00:00-04:00,37.917919290962445,37.917919290962445,36.65398864793037,36.68220138549805,85200,0.0,0.0,0.0,36.05844428322532,55.35897704590289
2000-06-13 00:00:00-04:00,36.59192333824,37.150535583496094,36.24772791439534,37.150535583496094,168200,0.0,0.0,0.0,36.149451891581215,45.46914689691366
2000-06-14 00:00:00-04:00,37.45523751087678,37.45523751087678,36.96997833251953,36.96997833251953,43200,0.0,0.0,0.0,36.21256931011494,56.34303712179625
2000-06-15 00:00:00-04:00,36.7442639606755,37.015106201171875,36.388783520024,37.015106201171875,26800,0.0,0.0,0.0,36.26989337376186,75.86935927587662
2000-06-16 00:00:00-04:00,37.17310810615357,37.19567829929635,36.81198501586914,36.81198501586914,30200,0.0,0.0,0.0,36.30603281656901,91.20814265013342
2000-06-19 00:00:00-04:00,37.0151082636637,37.73735427856445,36.84583185392134,37.73735427856445,59200,0.0,0.0,0.0,36.395490407943726,77.08976481084848
2000-06-20 00:00:00-04:00,37.793787214491104,38.042059331158406,37.647080963733146,37.985633850097656,47000,0.0,0.0,0.0,36.48902825748219,80.73854085106275
2000-06-21 00:00:00-04:00,37.66855110154922,38.25571077099783,37.66855110154922,38.18796157836914,66800,0.03,0.0,0.0,36.583413441975914,87.54163852119973
2000-06-22 00:00:00-04:00,38.30089170874619,38.30089170874619,37.03623962402344,37.03623962402344,139600,0.0,0.0,0.0,36.60724639892578,87.87739564014123
2000-06-23 00:00:00-04:00,37.39757339730448,37.39757339730448,36.49425036838407,36.7878303527832,235800,0.0,0.0,0.0,36.61627559661865,70.35928284807704
2000-06-26 00:00:00-04:00,36.93461521442476,37.23948669433594,36.76524217002966,37.23948669433594,93600,0.0,0.0,0.0,36.64595231555757,90.58827583804195
2000-06-27 00:00:00-04:00,37.29594220780181,37.62339674126419,36.65232467651367,36.65232467651367,112800,0.0,0.0,0.0,36.646241968328304,84.36376594995038
2000-06-28 00:00:00-04:00,36.81039615319325,37.713718758179596,36.81039615319325,37.57822036743164,170600,0.0,0.0,0.0,36.68676276828932,83.87788238164292
2000-06-29 00:00:00-04:00,37.39757663601047,37.46532586904672,36.87816584939922,36.99108123779297,212200,0.0,0.0,0.0,36.69944270451864,76.83258882366384
2000-06-30 00:00:00-04:00,37.01364810219878,37.34674835205078,36.70877668708,37.34674835205078,1171800,0.0,0.0,0.0,36.72533493041992,70.64985220854429
2000-07-03 00:00:00-04:00,37.26207548902372,37.87181854248047,37.21690933691581,37.87181854248047,15800,0.0,0.0,0.0,36.76943045396071,81.52683337782595
2000-07-05 00:00:00-04:00,37.65726911432061,37.66856064928743,37.31287729783283,37.44272994995117,138800,0.0,0.0,0.0,36.79436747233073,82.15149740654617
2000-07-06 00:00:00-04:00,37.4540278302575,37.88310623168945,37.10399018698406,37.88310623168945,154600,0.0,0.0,0.0,36.833250999450684,86.15155739675546
2000-07-07 00:00:00-04:00,37.88874752035638,38.267013961104986,37.88874752035638,38.12022399902344,71800,0.0,0.0,0.0,36.8776293787463,86.46937080732599
